label,f1_mean,f1_lower,f1_upper,s_score_mean,s_score_lower,s_score_upper,n_positives,n_total
hate_speech,0.37892823126969505,0.3544594643047376,0.4017302013064579,0.5036739879787782,0.4854045779156558,0.5211719758416424,1422.0,13250.0
toxic,0.6741865051330573,0.6470892843733574,0.6976319735408931,0.7280901966296944,0.7045402474523801,0.7494378370498588,819.0,2722.0
threat,0.2055897047095205,0.1020150484436199,0.32078182606809796,0.46489227850522286,0.36111630584500726,0.569063909266319,21.0,4376.0
insult,0.5449289170007862,0.5234171747449946,0.5649277258566978,0.6630096743701227,0.6458005499362488,0.6792269643444172,1296.0,7098.0
macro_f1,0.4509748175693018,0.42165907299560346,0.48043359061819935,,,,,
macro_s_score,,,,0.5901250996699947,0.5614899754997605,0.6163514896614487,,
