label,f1_mean,f1_lower,f1_upper,s_score_mean,s_score_lower,s_score_upper,n_positives,n_total
hate_speech,0.35103946502215194,0.32621529769665364,0.3754727335800476,0.4803786170130893,0.4618771903684309,0.4984197015752245,1422.0,13250.0
toxic,0.6487245337456081,0.6210179921049742,0.6748585770058162,0.6967390298563609,0.6740010769100425,0.720219797974089,819.0,2722.0
threat,0.24412664600990697,0.12345679012345678,0.3666743119266055,0.49816089119979895,0.3848272711704348,0.6037049597199807,21.0,4376.0
insult,0.5228969379695629,0.5024253844628045,0.5441345393512503,0.6429068930954013,0.6264247965511343,0.6600766419997927,1296.0,7098.0
macro_f1,0.44197110877185575,0.40812795582231204,0.47282094059747615,,,,,
macro_s_score,,,,0.5800185643015072,0.5491187750088914,0.6074847776879023,,
