label,f1_mean,f1_lower,f1_upper,s_score_mean,s_score_lower,s_score_upper,n_positives,n_total
hate_speech,0.3585147259445305,0.22855334538878844,0.48720930232558135,0.4932760260286059,0.39489703728357456,0.5939767629262896,47.0,500.0
toxic,0.5827460622128559,0.441122668579627,0.703327922077922,0.6313450807906832,0.5113516104897239,0.7360192006619348,40.0,121.0
threat,,,,,,,0.0,159.0
insult,0.5070964443500252,0.392492889069484,0.6190581542351454,0.633491279369733,0.5389581589161265,0.7248362187139397,47.0,280.0
macro_f1,0.4829542416966319,0.3943323112073112,0.5686734570809913,,,,,
macro_s_score,,,,0.5865515704640245,0.5160381469302797,0.6532794508174129,,
